key,fr,en,ar
geo_rank_sub,Taux d'admission et intervalle de confiance à 95 % (méthode de Wilson).,Pass rate and 95% confidence interval (Wilson method).,نسبة النجاح ومجال الثقة 95% (طريقة ويلسون).
geo_rank_x,Taux d'admission,Pass rate,نسبة النجاح
geo_pole_title,Cinq points d'écart entre Nouakchott et l'intérieur,A five-point gap between Nouakchott and the interior,فارق خمس نقاط بين نواكشوط والداخل
geo_pole_sub,Taux d'admission comparé de la capitale et de l'ensemble de l'intérieur.,Pass rate of the capital compared with the interior as a whole.,مقارنة نسبة النجاح بين العاصمة ومجموع الداخل.
pole_nkc,Nouakchott,Nouakchott,نواكشوط
pole_int,Intérieur,Interior,الداخل
dec_admis,Admis,Admitted,ناجح
dec_sess,Sessionnaire,Resit,دورة تكميلية
dec_ajourne,Ajourné,Failed,راسب
dec_absent,Absent,Absent,غائب
dec_annule,Examen annulé,Exam voided,امتحان ملغى
step_inscrits,Inscrits,Registered,المسجلون
step_presents,Présents à l'épreuve,Sat the exam,الحاضرون
step_moy8,Moyenne ≥ 8,Average ≥ 8,معدل ≥ 8
step_admis,Admis (≥ 10),Admitted (≥ 10),ناجح (≥ 10)
ment_passable,Passable,Pass,مقبول
ment_ab,Assez bien,Fairly good,مستحسن
ment_bien,Bien,Good,جيد
ment_tb,Très bien,Very good,جيد جدًا
ax_moyenne,Moyenne générale (sur 20),Overall average (out of 20),المعدل العام (من 20)
ax_taux,Taux d'admission,Pass rate,نسبة النجاح
ax_densite,Densité,Density,الكثافة
idx_hist_title,Peu de candidats franchissent la barre des 10,Few candidates clear the 10 mark,قلة من المترشحين يتجاوزون عتبة 10
idx_hist_sub,Nombre de candidats présents selon la moyenne obtenue au baccalauréat 2026.,Number of present candidates by average obtained at the 2026 baccalaureate.,عدد المترشحين الحاضرين حسب المعدل المحصل عليه في باكالوريا 2026.
idx_hist_y,Candidats,Candidates,المترشحون
idx_seuil_8,Seuil de rattrapage : 8,Resit threshold: 8,عتبة الدورة التكميلية: 8
idx_seuil_10,Seuil d'admission : 10,Pass threshold: 10,عتبة النجاح: 10
pano_dec_title,Un admis pour sept ajournés,One pass for seven fails,ناجح واحد مقابل سبعة راسبين
pano_dec_sub_a,Répartition des ,Breakdown of the ,توزيع 
pano_dec_sub_b, candidats de la session normale selon la décision finale., normal-session candidates by final decision., مترشح في الدورة العادية حسب القرار النهائي.
pano_ent_title,De soixante-quatre mille inscrits à huit mille admis,From sixty-four thousand registered to eight thousand admitted,من أربعة وستين ألف مسجل إلى ثمانية آلاف ناجح
pano_ent_sub,Effectif subsistant à chaque filtre de la session normale.,Headcount remaining at each filter of the normal session.,العدد المتبقي عند كل مرحلة من الدورة العادية.
pano_den_title,Une distribution qui penche à gauche,A left-leaning distribution,توزيع مائل نحو اليسار
pano_den_sub,Densité des moyennes des candidats présents. Les tirets marquent les seuils de 8 et 10.,Density of present candidates' averages. Dashes mark the 8 and 10 thresholds.,كثافة معدلات المترشحين الحاضرين. الخطوط المتقطعة تشير إلى عتبتي 8 و10.
pano_den_med,médiane ,median ,الوسيط 
pano_ment_title,La plupart des admis passent de justesse,Most who pass do so narrowly,معظم الناجحين ينجحون بالكاد
pano_ment_sub,Répartition des mentions parmi les seuls admis.,Distribution of honours among admitted candidates only.,توزيع الملاحظات بين الناجحين فقط.
fil_eff_title,"Les sciences naturelles, série la plus choisie","Natural Sciences, the most chosen track",العلوم الطبيعية، الشعبة الأكثر اختيارًا
fil_eff_sub,Nombre de candidats par série à la session normale 2026.,Number of candidates per track in the 2026 normal session.,عدد المترشحين حسب الشعبة في الدورة العادية 2026.
fil_taux_title,"Les mathématiques en tête, les sciences naturelles à la traîne","Mathematics ahead, Natural Sciences lagging",الرياضيات في الصدارة والعلوم الطبيعية في المؤخرة
fil_taux_sub,Taux d'admission par série (≥ 100 candidats) et intervalle de confiance à 95 %.,Pass rate per track (≥ 100 candidates) and 95% confidence interval.,نسبة النجاح حسب الشعبة (≥ 100 مترشح) ومجال الثقة 95%.
fil_ridge_title,Toutes les séries ont leur sommet sous la barre des 10,Every track peaks below the 10 mark,كل الشعب تبلغ ذروتها تحت عتبة 10
fil_ridge_sub,"Distribution des moyennes par série, ordonnée par médiane croissante. Tiret : seuil d'admission.","Distribution of averages per track, ordered by rising median. Dash: pass threshold.",توزيع المعدلات حسب الشعبة، مرتبة حسب الوسيط التصاعدي. الخط المتقطع: عتبة النجاح.
